

RunID,N,Sampler,Utilities,Mu,Lambda,NumFuncEvals,Time,Fitness
1,2,EigenCovarSampler,log_utilities,1,4,1000000,9.992226246,4.437342591868191e-31
1,2,EigenCovarSampler,log_utilities,1,4,1000000,9.972418026,0.0
1,2,EigenCovarSampler,log_utilities,2,4,1000000,10.160452246,5.965760595733902e-30
1,2,EigenCovarSampler,log_utilities,2,4,1000000,9.935976938,1.232595164407831e-30
1,2,EigenCovarSampler,log_utilities,1,8,1000000,6.166598096,0.0
1,2,EigenCovarSampler,log_utilities,1,8,1000000,6.261772785,0.0
1,2,EigenCovarSampler,log_utilities,2,8,1000000,5.995226473,0.0
1,2,EigenCovarSampler,log_utilities,3,8,1000000,6.0389805,0.0
1,2,EigenCovarSampler,log_utilities,4,8,1000000,6.022837892,1.9721522630525295e-31
1,2,EigenCovarSampler,log_utilities,1,16,1000000,4.006260362,0.0
1,2,EigenCovarSampler,log_utilities,2,16,1000000,4.232339294,0.0
1,2,EigenCovarSampler,log_utilities,3,16,1000000,4.140550794,1.2449211160519093e-30
1,2,EigenCovarSampler,log_utilities,6,16,1000000,4.131452184,0.0
1,2,EigenCovarSampler,log_utilities,8,16,1000000,3.930942842,0.0
1,2,CholeskyCovarSampler,log_utilities,1,8,1000000,8.433259596,0.0
1,2,CholeskyCovarSampler,log_utilities,1,8,1000000,8.44383589,0.0
1,2,CholeskyCovarSampler,log_utilities,2,8,1000000,11.22318745,0.0
1,2,CholeskyCovarSampler,log_utilities,3,8,1000000,11.902036355,4.930380657631324e-32
1,2,CholeskyCovarSampler,log_utilities,4,8,1000000,12.354874991,0.0
1,2,CholeskyCovarSampler,log_utilities,1,4,1000000,14.68089379,0.0
1,2,CholeskyCovarSampler,log_utilities,1,4,1000000,14.792695599,0.0
1,2,CholeskyCovarSampler,log_utilities,1,4,1000000,14.507424482,0.0
1,2,CholeskyCovarSampler,log_utilities,2,4,1000000,20.843362193,1.232595164407831e-30
